day,S,I,R,E_mos,I_mos,totalHumans
0,19969,29,0,0,79,19998
1,19496,502,0,7,72,19998
2,19459,539,0,13,62,19998
3,19457,539,0,19,58,19996
4,19229,766,0,24,52,19995
5,19202,792,0,42,46,19994
6,19018,971,0,54,38,19989
7,19018,971,0,54,35,19989
8,18656,1333,0,59,27,19989
9,18532,1454,0,65,24,19986
10,18513,1470,0,76,17,19983
11,18512,1470,0,84,17,19982
12,18452,1527,0,91,19,19979
13,18432,1544,0,83,21,19976
14,18430,1543,1,72,23,19974
15,18416,1520,36,73,23,19972
16,18415,1486,70,73,25,19971
17,18412,1456,100,70,24,19968
18,18372,1446,149,71,21,19967
19,18150,1622,194,73,21,19966
20,18128,1583,253,67,26,19964
21,18125,1529,307,74,25,19961
22,18104,1479,373,74,25,19956
23,18101,1399,453,76,28,19953
24,18100,1308,544,73,23,19952
25,17962,1374,615,78,20,19951
26,17906,1366,679,81,22,19951
27,17788,1422,741,71,18,19951
28,17785,1349,814,65,17,19948
29,17672,1421,855,71,16,19948
30,17671,1360,914,75,17,19945
31,17651,1335,958,69,17,19944
32,17651,1299,994,70,17,19944
33,17484,1402,1052,63,18,19938
34,17463,1359,1116,64,17,19938
35,17462,1294,1179,65,20,19935
36,17406,1311,1216,63,19,19933
37,17405,1275,1252,69,19,19932
38,17389,1255,1287,75,18,19931
39,17361,1238,1329,83,17,19928
40,17334,1227,1365,84,22,19926
41,17332,1169,1423,81,17,19924
42,17311,1143,1469,83,21,19923
43,17288,1108,1525,90,20,19921
44,17272,1083,1564,89,19,19919
45,17178,1119,1618,83,18,19915
46,17165,1080,1670,91,20,19915
47,17136,1040,1736,86,23,19912
48,17119,1006,1787,87,18,19912
49,17117,941,1851,84,17,19909
50,17117,893,1899,94,18,19909
51,17099,855,1952,91,19,19906
52,17097,817,1990,93,24,19904
53,17097,767,2040,88,27,19904
54,17081,741,2081,83,25,19903
55,17081,696,2125,89,23,19902
56,17052,686,2160,79,25,19898
57,17029,677,2192,88,26,19898
58,17025,642,2226,89,26,19893
59,16944,694,2252,96,25,19890
60,16940,663,2283,95,26,19886
61,16827,748,2308,90,26,19883
62,16811,729,2343,89,24,19883
63,16713,789,2378,85,26,19880
64,16713,760,2406,79,25,19879
65,16688,754,2435,76,24,19877
66,16687,718,2470,71,27,19875
67,16429,945,2499,81,25,19873
68,16332,1019,2520,72,29,19871
69,16312,1009,2545,70,32,19866
70,16274,1030,2559,72,34,19863
71,16186,1087,2588,70,32,19861
72,16085,1167,2609,62,34,19861
73,16067,1156,2635,75,29,19858
74,16067,1134,2657,72,32,19858
75,15931,1235,2691,76,33,19857
76,15805,1338,2714,85,32,19857
77,15761,1343,2750,83,33,19854
78,15705,1358,2788,85,32,19851
79,15640,1394,2816,90,35,19850
80,15638,1379,2831,88,30,19848
81,15620,1360,2866,84,30,19846
82,15620,1303,2921,89,29,19844
83,15595,1288,2959,84,37,19842
84,15594,1236,3011,74,39,19841
85,15539,1248,3052,79,32,19839
86,15539,1193,3106,74,32,19838
87,15539,1141,3158,73,30,19838
88,15537,1088,3209,80,23,19834
89,15368,1213,3250,76,22,19831
90,15317,1191,3320,79,23,19828
91,15278,1166,3381,80,20,19825
92,15263,1131,3427,74,19,19821
93,15232,1112,3474,73,22,19818
94,15231,1056,3529,71,22,19816
95,15220,1006,3588,71,23,19814
96,15175,1010,3626,70,23,19811
97,15149,974,3685,71,23,19808
98,15149,941,3718,71,23,19808
99,15082,964,3761,70,24,19807
100,15079,927,3798,67,24,19804
101,15078,894,3830,67,21,19802
102,15036,904,3860,61,18,19800
103,15015,868,3915,57,16,19798
104,14992,847,3958,56,13,19797
105,14991,803,4002,58,17,19796
106,14991,767,4037,59,15,19795
107,14990,729,4075,61,12,19794
108,14988,696,4106,56,12,19790
