day,S,I,R,E_mos,I_mos,totalHumans,itn_protected,treated_humans
0,9830,170,0,227,90,10000,0,0
1,9464,536,0,791,83,10000,0,0
2,9059,941,0,1372,74,10000,0,0
3,8841,1157,0,1830,67,9998,0,0
4,8736,1262,0,2152,59,9998,0,0
5,8643,1353,0,2422,55,9996,0,0
6,8589,1406,0,2634,51,9995,0,0
7,8482,1512,0,2803,46,9994,0,0
8,8283,1710,0,2913,42,9993,0,0
9,8091,1902,0,2959,37,9993,0,0
10,7926,2065,0,2910,115,9991,0,0
11,7663,2328,0,2712,340,9991,0,0
12,6831,3160,0,2450,562,9991,0,0
13,6090,3900,0,2201,762,9990,0,0
14,5333,4639,16,2013,868,9988,0,0
15,4459,5480,48,1840,953,9987,0,0
16,3804,6082,101,1704,1018,9987,0,0
17,3267,6534,185,1537,1102,9986,0,0
18,2868,6869,249,1382,1136,9986,0,0
19,2564,7089,331,1236,1153,9984,0,0
20,2322,7258,404,1102,1159,9984,0,0
21,2017,7464,502,988,1161,9983,0,0
22,1799,7598,585,876,1153,9982,0,0
23,1618,7681,682,788,1142,9981,0,0
24,1403,7794,782,689,1098,9979,0,0
25,1306,7762,909,619,1060,9977,0,0
26,1182,7734,1060,531,1042,9976,0,0
27,1022,7682,1272,501,982,9976,0,0
28,937,7535,1503,466,956,9975,0,0
29,873,7339,1763,415,935,9975,0,0
30,808,7050,2116,362,885,9974,0,0
31,736,6795,2443,323,831,9974,0,0
32,666,6571,2737,291,795,9974,0,0
33,626,6281,3067,260,735,9974,0,0
34,589,6023,3360,236,714,9972,0,0
35,557,5723,3692,238,660,9972,0,0
36,511,5456,4005,229,605,9972,0,0
37,496,5165,4310,211,570,9971,0,0
38,476,4895,4599,201,523,9970,0,0
39,453,4654,4861,222,486,9968,0,0
40,441,4403,5123,221,459,9967,0,0
41,416,4142,5405,239,426,9963,0,0
42,410,3895,5656,240,396,9961,0,0
43,402,3641,5915,233,365,9958,0,0
44,391,3395,6171,230,337,9957,0,0
45,383,3207,6365,231,317,9955,0,0
46,377,3017,6561,222,295,9955,0,0
47,368,2850,6737,214,275,9955,0,0
48,355,2660,6939,205,263,9954,0,0
49,343,2489,7121,203,252,9953,0,0
50,341,2314,7297,215,239,9952,0,0
51,336,2181,7433,218,231,9950,0,0
52,323,2034,7592,216,227,9949,0,0
53,321,1915,7713,216,219,9949,0,0
54,320,1773,7856,227,213,9949,0,0
55,316,1656,7974,230,211,9946,0,0
56,306,1548,8092,236,203,9946,0,0
57,298,1465,8183,239,194,9946,0,0
58,290,1376,8280,256,182,9946,0,0
59,287,1286,8372,252,179,9945,0,0
60,285,1192,8468,255,180,9945,0,0
61,282,1110,8552,279,162,9944,0,0
62,279,1036,8628,268,158,9943,0,0
63,278,959,8704,271,162,9941,0,0
64,275,880,8785,261,172,9940,0,0
65,271,828,8839,250,177,9938,0,0
66,264,776,8898,229,176,9938,0,0
67,259,728,8950,239,176,9937,0,0
68,254,683,8999,242,170,9936,0,0
69,252,636,9048,244,164,9936,0,0
70,244,601,9089,249,164,9934,0,0
71,243,554,9136,234,173,9933,0,0
72,241,518,9172,228,171,9931,0,0
73,240,479,9210,231,172,9929,0,0
74,234,456,9238,226,169,9928,0,0
75,234,420,9272,222,154,9926,0,0
76,231,402,9292,213,157,9925,0,0
77,231,373,9319,217,160,9923,0,0
78,228,355,9338,219,164,9921,0,0
79,225,345,9349,200,167,9919,0,0
80,220,326,9371,206,168,9917,0,0
81,220,312,9384,213,163,9916,0,0
82,218,291,9406,214,158,9915,0,0
83,215,277,9420,220,159,9912,0,0
84,215,258,9438,214,150,9911,0,0
85,214,238,9456,242,145,9908,0,0
86,211,223,9472,242,136,9906,0,0
87,209,212,9485,233,141,9906,0,0
88,208,199,9498,209,146,9905,0,0
89,208,192,9503,203,135,9903,0,0
90,206,184,9512,202,133,9902,0,0
91,206,168,9528,196,134,9902,0,0
92,206,155,9540,183,134,9901,0,0
93,205,148,9548,184,135,9901,0,0
94,201,145,9555,191,126,9901,0,0
95,200,136,9562,194,137,9898,0,0
96,200,130,9568,196,130,9898,0,0
97,199,123,9575,191,124,9897,0,0
98,199,112,9585,201,122,9896,0,0
99,199,105,9591,188,124,9895,0,0
100,199,95,9601,180,132,9895,0,0
101,194,97,9601,171,126,9892,0,0
102,194,90,9606,172,115,9890,0,0
103,191,89,9607,153,121,9887,0,0
104,189,85,9613,144,114,9887,0,0
105,189,79,9617,126,118,9885,0,0
106,188,77,9619,122,109,9884,0,0
107,188,72,9624,108,108,9884,0,0
108,188,68,9627,90,108,9883,0,0
109,188,66,9629,88,104,9883,0,0
110,186,66,9630,75,108,9882,0,0
111,185,66,9630,79,102,9881,0,0
112,185,63,9632,75,103,9880,0,0
113,185,61,9632,78,98,9878,0,0
114,185,58,9635,77,91,9878,0,0
115,183,56,9639,83,84,9878,0,0
116,183,52,9642,83,83,9877,0,0
117,183,49,9645,82,80,9877,0,0
118,182,50,9643,75,73,9875,0,0
119,182,45,9648,74,75,9875,0,0
120,181,44,9649,71,74,9874,0,0
121,180,41,9653,70,76,9874,0,0
122,180,36,9657,75,70,9873,0,0
123,177,39,9657,73,68,9873,0,0
124,172,42,9659,72,67,9873,0,0
125,172,39,9662,64,68,9873,0,0
126,172,38,9660,62,69,9870,0,0
127,172,38,9660,57,62,9870,0,0
128,171,35,9663,55,63,9869,0,0
129,171,32,9666,53,66,9869,0,0
130,170,31,9668,55,60,9869,0,0
131,170,31,9666,51,53,9867,0,0
132,170,31,9666,55,53,9867,0,0
133,170,30,9666,55,54,9866,0,0
134,170,29,9667,53,53,9866,0,0
135,169,28,9668,51,49,9865,0,0
136,167,28,9670,49,51,9865,0,0
137,167,28,9669,43,45,9864,0,0
138,165,27,9672,49,43,9864,0,0
139,164,28,9669,51,43,9861,0,0
140,164,25,9669,47,42,9858,0,0
141,164,22,9672,45,39,9858,0,0
142,164,19,9675,36,41,9858,0,0
143,164,18,9676,32,40,9858,0,0
144,164,18,9676,29,40,9858,0,0
145,164,15,9678,23,41,9857,0,0
146,163,15,9678,22,43,9856,0,0
147,163,15,9677,18,40,9855,0,0
148,163,12,9680,15,41,9855,0,0
149,161,12,9682,13,38,9855,0,0
150,161,12,9682,10,36,9855,0,0
151,159,14,9681,6,37,9854,0,0
152,159,14,9680,6,30,9853,0,0
153,158,15,9680,6,26,9853,0,0
154,158,14,9679,5,24,9851,0,0
155,158,14,9678,6,21,9850,0,0
156,157,14,9677,7,20,9848,0,0
157,157,13,9678,8,20,9848,0,0
158,157,11,9680,8,18,9848,0,0
159,157,10,9681,7,19,9848,0,0
160,157,9,9682,9,16,9848,0,0
161,157,8,9680,12,15,9845,0,0
162,157,8,9680,12,14,9845,0,0
163,157,7,9678,14,14,9842,0,0
164,157,7,9678,15,14,9842,0,0
165,157,7,9678,13,11,9842,0,0
166,157,7,9678,13,11,9842,0,0
167,157,7,9678,12,12,9842,0,0
168,157,7,9677,14,12,9841,0,0
169,157,7,9677,14,11,9841,0,0
170,157,7,9676,17,12,9840,0,0
171,157,5,9678,14,15,9840,0,0
172,157,4,9678,14,15,9839,0,0
173,157,4,9676,15,16,9837,0,0
174,157,4,9674,15,14,9835,0,0
175,157,3,9674,12,15,9834,0,0
176,157,2,9675,12,13,9834,0,0
177,157,2,9675,9,13,9834,0,0
178,157,1,9676,10,14,9834,0,0
179,157,0,9676,7,11,9833,0,0
180,157,0,9675,2,16,9832,0,0
181,157,0,9674,2,15,9831,0,0
182,157,0,9673,2,13,9830,0,0
183,157,0,9672,1,12,9829,0,0
184,156,1,9672,0,12,9829,0,0
185,156,1,9671,0,12,9828,0,0
186,156,1,9669,0,11,9826,0,0
187,155,2,9669,0,10,9826,0,0
188,155,2,9669,1,9,9826,0,0
189,154,3,9669,0,9,9826,0,0
190,154,3,9669,0,9,9826,0,0
191,154,3,9669,2,9,9826,0,0
192,154,3,9669,2,8,9826,0,0
193,154,3,9669,2,7,9826,0,0
194,154,3,9667,2,7,9824,0,0
195,154,3,9665,2,7,9822,0,0
196,154,3,9663,3,7,9820,0,0
197,154,3,9663,2,7,9820,0,0
198,154,3,9663,2,6,9820,0,0
199,154,3,9661,2,6,9818,0,0
200,154,3,9661,3,5,9818,0,0
201,154,3,9660,3,3,9817,0,0
202,154,3,9660,4,3,9817,0,0
203,154,3,9658,5,1,9815,0,0
204,154,3,9657,4,1,9814,0,0
205,154,2,9657,5,0,9813,0,0
206,154,2,9656,3,2,9812,0,0
207,154,2,9656,4,1,9812,0,0
208,154,1,9654,4,1,9809,0,0
209,154,1,9651,4,1,9806,0,0
210,154,1,9649,5,1,9804,0,0
211,154,1,9649,4,0,9804,0,0
212,154,0,9649,2,1,9803,0,0
213,154,0,9648,2,1,9802,0,0
214,154,0,9648,2,1,9802,0,0
215,154,0,9644,2,1,9798,0,0
216,154,0,9644,2,1,9798,0,0
217,154,0,9644,1,2,9798,0,0
218,154,0,9643,0,2,9797,0,0
219,154,0,9643,0,2,9797,0,0
220,154,0,9642,0,2,9796,0,0
221,154,0,9642,0,2,9796,0,0
222,154,0,9641,0,2,9795,0,0
223,154,0,9640,0,2,9794,0,0
224,154,0,9640,0,1,9794,0,0
225,154,0,9638,0,1,9792,0,0
226,154,0,9638,0,1,9792,0,0
227,154,0,9637,0,1,9791,0,0
228,154,0,9634,0,1,9788,0,0
229,154,0,9633,0,0,9787,0,0
230,154,0,9631,0,0,9785,0,0
231,154,0,9628,0,0,9782,0,0
232,154,0,9626,0,0,9780,0,0
233,154,0,9625,0,0,9779,0,0
234,154,0,9625,0,0,9779,0,0
235,154,0,9624,0,0,9778,0,0
236,154,0,9623,0,0,9777,0,0
237,154,0,9621,0,0,9775,0,0
238,154,0,9620,0,0,9774,0,0
239,154,0,9619,0,0,9773,0,0
240,154,0,9617,0,0,9771,0,0
241,154,0,9616,0,0,9770,0,0
242,154,0,9615,0,0,9769,0,0
243,154,0,9615,0,0,9769,0,0
244,154,0,9614,0,0,9768,0,0
245,154,0,9614,0,0,9768,0,0
246,154,0,9612,0,0,9766,0,0
247,154,0,9611,0,0,9765,0,0
248,154,0,9610,0,0,9764,0,0
249,154,0,9609,0,0,9763,0,0
250,154,0,9607,0,0,9761,0,0
251,154,0,9606,0,0,9760,0,0
252,154,0,9606,0,0,9760,0,0
253,154,0,9605,0,0,9759,0,0
254,154,0,9604,0,0,9758,0,0
255,154,0,9604,0,0,9758,0,0
256,154,0,9603,0,0,9757,0,0
257,154,0,9602,0,0,9756,0,0
258,154,0,9602,0,0,9756,0,0
259,154,0,9601,0,0,9755,0,0
260,154,0,9600,0,0,9754,0,0
261,154,0,9599,0,0,9753,0,0
262,154,0,9598,0,0,9752,0,0
263,154,0,9595,0,0,9749,0,0
264,154,0,9595,0,0,9749,0,0
265,154,0,9593,0,0,9747,0,0
266,154,0,9593,0,0,9747,0,0
267,154,0,9591,0,0,9745,0,0
268,154,0,9590,0,0,9744,0,0
269,154,0,9589,0,0,9743,0,0
270,154,0,9589,0,0,9743,0,0
271,154,0,9589,0,0,9743,0,0
272,153,0,9588,0,0,9741,0,0
273,153,0,9585,0,0,9738,0,0
274,153,0,9585,0,0,9738,0,0
275,153,0,9583,0,0,9736,0,0
276,153,0,9583,0,0,9736,0,0
277,153,0,9581,0,0,9734,0,0
278,153,0,9581,0,0,9734,0,0
279,153,0,9581,0,0,9734,0,0
280,153,0,9579,0,0,9732,0,0
281,153,0,9578,0,0,9731,0,0
282,153,0,9578,0,0,9731,0,0
283,153,0,9577,0,0,9730,0,0
284,153,0,9576,0,0,9729,0,0
285,153,0,9576,0,0,9729,0,0
286,153,0,9575,0,0,9728,0,0
287,153,0,9574,0,0,9727,0,0
288,153,0,9574,0,0,9727,0,0
289,153,0,9573,0,0,9726,0,0
290,153,0,9571,0,0,9724,0,0
291,153,0,9568,0,0,9721,0,0
292,153,0,9568,0,0,9721,0,0
293,153,0,9568,0,0,9721,0,0
294,153,0,9566,0,0,9719,0,0
295,153,0,9565,0,0,9718,0,0
296,153,0,9564,0,0,9717,0,0
297,153,0,9561,0,0,9714,0,0
298,153,0,9561,0,0,9714,0,0
299,153,0,9561,0,0,9714,0,0
300,153,0,9559,0,0,9712,0,0
301,153,0,9559,0,0,9712,0,0
302,153,0,9558,0,0,9711,0,0
303,153,0,9557,0,0,9710,0,0
304,153,0,9556,0,0,9709,0,0
305,153,0,9556,0,0,9709,0,0
306,153,0,9553,0,0,9706,0,0
307,153,0,9553,0,0,9706,0,0
308,153,0,9552,0,0,9705,0,0
309,153,0,9551,0,0,9704,0,0
310,153,0,9549,0,0,9702,0,0
311,153,0,9546,0,0,9699,0,0
