day,S,I,R,E_mos,I_mos,totalHumans
0,9961,38,0,15,89,9999
1,9503,495,0,44,77,9998
2,8980,1018,0,89,71,9998
3,8825,1173,0,138,68,9998
4,8593,1404,0,172,60,9997
5,8422,1574,0,193,52,9996
6,8268,1727,0,220,45,9995
7,8105,1890,0,223,38,9995
8,8089,1906,0,231,34,9995
9,7964,2030,0,240,29,9994
10,7927,2065,0,237,30,9992
11,7597,2394,0,244,38,9991
12,7558,2430,0,227,52,9988
13,7429,2559,0,202,71,9988
14,7326,2656,5,199,83,9987
15,7077,2864,44,185,87,9985
16,6973,2880,132,190,89,9985
17,6789,2990,206,189,94,9985
18,6565,3126,294,204,98,9985
19,6403,3197,385,197,98,9985
20,6097,3423,463,202,105,9983
21,6023,3388,570,198,106,9981
22,5848,3463,668,195,103,9979
23,5756,3460,762,211,93,9978
24,5576,3549,852,210,92,9977
25,5457,3559,961,204,86,9977
26,5390,3498,1089,207,93,9977
27,5338,3445,1193,200,101,9976
28,5244,3442,1289,189,111,9975
29,5173,3405,1396,190,111,9974
30,5025,3444,1503,191,116,9972
31,4967,3373,1632,199,105,9972
32,4879,3318,1774,191,103,9971
33,4795,3265,1910,206,105,9970
34,4727,3191,2050,187,108,9968
35,4673,3112,2183,188,108,9968
36,4578,3080,2308,180,105,9966
37,4498,3024,2442,166,107,9964
38,4420,2944,2600,178,106,9964
39,4293,2933,2737,180,105,9963
40,4249,2844,2869,190,108,9962
41,4153,2805,3003,202,100,9961
42,4079,2740,3140,205,96,9959
43,4040,2660,3259,200,95,9959
44,4008,2559,3388,209,94,9955
45,3939,2499,3517,221,91,9955
46,3903,2408,3641,217,88,9952
47,3870,2341,3741,227,90,9952
48,3822,2291,3839,230,95,9952
49,3791,2210,3950,233,98,9951
