day,houseID,infectedHumans
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,10
0,16,2
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,1
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,18
0,42,0
0,43,0
0,44,1
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,1
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,2
0,88,0
0,89,0
0,90,0
0,91,1
0,92,0
0,93,0
0,94,1
0,95,0
0,96,0
0,97,1
0,98,0
0,99,0
1,0,2
1,1,2
1,2,1
1,3,1
1,4,6
1,5,4
1,6,4
1,7,28
1,8,4
1,9,3
1,10,3
1,11,1
1,12,6
1,13,1
1,14,3
1,15,10
1,16,17
1,17,2
1,18,4
1,19,0
1,20,4
1,21,1
1,22,1
1,23,3
1,24,2
1,25,1
1,26,7
1,27,3
1,28,5
1,29,4
1,30,4
1,31,2
1,32,2
1,33,1
1,34,4
1,35,2
1,36,2
1,37,5
1,38,4
1,39,3
1,40,3
1,41,20
1,42,4
1,43,5
1,44,28
1,45,4
1,46,3
1,47,27
1,48,5
1,49,1
1,50,4
1,51,3
1,52,1
1,53,0
1,54,1
1,55,3
1,56,0
1,57,3
1,58,0
1,59,3
1,60,3
1,61,4
1,62,3
1,63,18
1,64,0
1,65,17
1,66,1
1,67,4
1,68,11
1,69,1
1,70,5
1,71,7
1,72,2
1,73,2
1,74,6
1,75,4
1,76,2
1,77,6
1,78,2
1,79,4
1,80,3
1,81,1
1,82,18
1,83,0
1,84,5
1,85,3
1,86,1
1,87,4
1,88,1
1,89,2
1,90,2
1,91,2
1,92,4
1,93,18
1,94,6
1,95,26
1,96,3
1,97,4
1,98,4
1,99,6
2,0,6
2,1,10
2,2,2
2,3,5
2,4,7
2,5,10
2,6,8
2,7,29
2,8,6
2,9,6
2,10,8
2,11,3
2,12,12
2,13,6
2,14,10
2,15,14
2,16,22
2,17,6
2,18,9
2,19,1
2,20,10
2,21,5
2,22,7
2,23,10
2,24,11
2,25,4
2,26,13
2,27,26
2,28,12
2,29,9
2,30,6
2,31,9
2,32,4
2,33,7
2,34,6
2,35,7
2,36,7
2,37,10
2,38,8
2,39,11
2,40,10
2,41,21
2,42,8
2,43,9
2,44,30
2,45,8
2,46,6
2,47,32
2,48,8
2,49,4
2,50,10
2,51,8
2,52,5
2,53,2
2,54,5
2,55,6
2,56,3
2,57,7
2,58,6
2,59,7
2,60,7
2,61,10
2,62,4
2,63,19
2,64,4
2,65,20
2,66,7
2,67,7
2,68,17
2,69,5
2,70,10
2,71,17
2,72,9
2,73,8
2,74,12
2,75,9
2,76,7
2,77,12
2,78,10
2,79,4
2,80,30
2,81,8
2,82,19
2,83,8
2,84,10
2,85,8
2,86,6
2,87,9
2,88,7
2,89,8
2,90,5
2,91,7
2,92,10
2,93,21
2,94,33
2,95,31
2,96,19
2,97,8
2,98,6
2,99,10
3,0,7
3,1,11
3,2,2
3,3,5
3,4,8
3,5,10
3,6,8
3,7,29
3,8,7
3,9,7
3,10,8
3,11,3
3,12,12
3,13,7
3,14,10
3,15,14
3,16,22
3,17,9
3,18,10
3,19,2
3,20,11
3,21,5
3,22,9
3,23,11
3,24,12
3,25,5
3,26,13
3,27,43
3,28,12
3,29,9
3,30,6
3,31,12
3,32,5
3,33,8
3,34,6
3,35,7
3,36,8
3,37,10
3,38,31
3,39,11
3,40,10
3,41,21
3,42,8
3,43,32
3,44,45
3,45,8
3,46,6
3,47,32
3,48,10
3,49,5
3,50,10
3,51,9
3,52,6
3,53,2
3,54,5
3,55,6
3,56,3
3,57,7
3,58,6
3,59,7
3,60,8
3,61,12
3,62,4
3,63,19
3,64,5
3,65,20
3,66,9
3,67,8
3,68,18
3,69,8
3,70,10
3,71,18
3,72,9
3,73,8
3,74,13
3,75,9
3,76,8
3,77,13
3,78,10
3,79,6
3,80,30
3,81,8
3,82,21
3,83,9
3,84,11
3,85,8
3,86,23
3,87,10
3,88,7
3,89,9
3,90,5
3,91,7
3,92,12
3,93,24
3,94,35
3,95,31
3,96,19
3,97,9
3,98,6
3,99,11
4,0,10
4,1,12
4,2,3
4,3,6
4,4,9
4,5,13
4,6,8
4,7,30
4,8,8
4,9,7
4,10,8
4,11,4
4,12,12
4,13,7
4,14,11
4,15,14
4,16,22
4,17,9
4,18,10
4,19,2
4,20,11
4,21,24
4,22,10
4,23,13
4,24,12
4,25,5
4,26,15
4,27,43
4,28,14
4,29,9
4,30,23
4,31,30
4,32,5
4,33,9
4,34,6
4,35,8
4,36,9
4,37,10
4,38,31
4,39,11
4,40,33
4,41,23
4,42,8
4,43,34
4,44,45
4,45,8
4,46,7
4,47,46
4,48,12
4,49,5
4,50,11
4,51,11
4,52,7
4,53,2
4,54,5
4,55,7
4,56,6
4,57,8
4,58,9
4,59,7
4,60,10
4,61,47
4,62,5
4,63,19
4,64,7
4,65,21
4,66,10
4,67,9
4,68,18
4,69,9
4,70,10
4,71,19
4,72,25
4,73,8
4,74,13
4,75,9
4,76,10
4,77,13
4,78,12
4,79,6
4,80,31
4,81,8
4,82,21
4,83,9
4,84,11
4,85,8
4,86,45
4,87,11
4,88,8
4,89,10
4,90,5
4,91,7
4,92,13
4,93,25
4,94,35
4,95,33
4,96,20
4,97,9
4,98,7
4,99,11
5,0,11
5,1,31
5,2,4
5,3,7
5,4,30
5,5,13
5,6,10
5,7,31
5,8,9
5,9,7
5,10,9
5,11,5
5,12,15
5,13,7
5,14,11
5,15,15
5,16,22
5,17,10
5,18,10
5,19,2
5,20,12
5,21,24
5,22,10
5,23,13
5,24,14
5,25,7
5,26,17
5,27,43
5,28,14
5,29,9
5,30,23
5,31,32
5,32,5
5,33,10
5,34,7
5,35,8
5,36,10
5,37,11
5,38,32
5,39,11
5,40,33
5,41,23
5,42,9
5,43,35
5,44,54
5,45,8
5,46,7
5,47,46
5,48,14
5,49,8
5,50,12
5,51,12
5,52,9
5,53,2
5,54,5
5,55,10
5,56,6
5,57,9
5,58,11
5,59,9
5,60,29
5,61,49
5,62,5
5,63,19
5,64,7
5,65,41
5,66,10
5,67,11
5,68,20
5,69,11
5,70,11
5,71,20
5,72,26
5,73,9
5,74,13
5,75,10
5,76,10
5,77,13
5,78,12
5,79,8
5,80,34
5,81,9
5,82,22
5,83,11
5,84,12
5,85,8
5,86,46
5,87,11
5,88,9
5,89,10
5,90,6
5,91,7
5,92,15
5,93,25
5,94,37
5,95,34
5,96,21
5,97,9
5,98,8
5,99,13
6,0,13
6,1,32
6,2,5
6,3,7
6,4,31
6,5,13
6,6,11
6,7,34
6,8,13
6,9,8
6,10,9
6,11,5
6,12,15
6,13,10
6,14,16
6,15,16
6,16,24
6,17,11
6,18,11
6,19,5
6,20,15
