day,S,I,R,E_mos,I_mos,totalHumans
0,9784,213,0,15,85,9997
1,9531,465,0,63,76,9996
2,9400,593,0,110,69,9993
3,9078,913,0,142,57,9991
4,8979,1012,0,166,50,9991
5,8676,1314,0,177,46,9990
6,8583,1407,0,183,40,9990
7,8495,1493,0,194,33,9988
8,8384,1604,0,201,29,9988
9,8321,1665,0,206,28,9986
10,8320,1664,0,200,36,9984
11,8216,1768,0,197,46,9984
12,8198,1785,0,182,63,9983
13,8182,1801,0,177,75,9983
14,8122,1842,18,174,87,9982
15,8004,1927,50,178,92,9981
16,7698,2197,85,175,94,9980
17,7370,2472,136,176,89,9978
18,7240,2542,192,175,86,9974
19,7158,2555,261,167,85,9974
20,6957,2660,356,159,83,9973
21,6756,2785,432,157,85,9973
22,6690,2763,520,160,80,9973
23,6532,2836,604,151,84,9972
24,6426,2869,677,159,84,9972
25,6375,2856,740,148,89,9971
26,6157,2999,814,149,85,9970
27,6015,3077,877,156,83,9969
28,5977,3058,932,159,88,9967
29,5906,3061,1000,160,85,9967
30,5795,3067,1103,159,87,9965
31,5587,3162,1215,161,87,9964
32,5492,3173,1298,156,89,9963
33,5373,3188,1400,160,89,9961
34,5299,3139,1523,158,92,9961
35,5234,3098,1628,168,83,9960
36,5194,3027,1739,163,87,9960
37,5138,2943,1875,169,83,9956
38,5137,2817,2001,174,88,9955
39,5045,2790,2118,167,95,9953
40,4984,2735,2233,162,97,9952
41,4912,2671,2368,162,95,9951
42,4863,2604,2482,157,98,9949
43,4841,2509,2599,157,98,9949
44,4799,2430,2719,157,95,9948
45,4690,2423,2835,161,100,9948
46,4635,2356,2957,167,104,9948
47,4570,2311,3067,167,108,9948
48,4512,2245,3190,167,114,9947
49,4420,2225,3302,158,111,9947
50,4352,2212,3383,158,106,9947
51,4301,2157,3488,160,105,9946
52,4287,2068,3591,169,102,9946
53,4219,2042,3683,179,101,9944
54,4133,2035,3774,177,98,9942
55,4057,2007,3876,168,105,9940
56,4042,1939,3958,177,99,9939
57,3973,1930,4036,174,99,9939
58,3877,1937,4125,163,101,9939
59,3834,1898,4206,164,104,9938
60,3827,1818,4293,168,101,9938
61,3771,1796,4370,179,101,9937
62,3734,1759,4442,185,99,9935
63,3707,1695,4532,193,95,9934
64,3678,1652,4604,184,97,9934
65,3661,1590,4682,196,97,9933
66,3618,1562,4751,194,98,9931
67,3569,1546,4815,188,98,9930
68,3512,1536,4881,189,94,9929
69,3468,1505,4955,192,93,9928
70,3423,1485,5018,180,100,9926
71,3387,1449,5090,172,100,9926
72,3361,1399,5166,169,92,9926
73,3320,1370,5235,190,92,9925
74,3292,1345,5287,181,90,9924
75,3273,1302,5347,179,89,9922
