day,S,I,R,E_mos,I_mos,totalHumans
0,9822,178,0,28,85,10000
1,9701,299,0,65,77,10000
2,9473,526,0,116,73,9999
3,9329,667,0,149,65,9996
4,9275,720,0,161,54,9995
5,9115,880,0,189,48,9995
6,9073,921,0,196,43,9994
7,9016,977,0,209,40,9993
8,8897,1095,0,212,34,9992
9,8877,1114,0,219,31,9991
10,8833,1156,0,197,38,9989
11,8832,1156,0,175,55,9988
12,8759,1227,0,179,58,9986
13,8742,1242,0,189,62,9984
14,8715,1251,17,187,63,9983
15,8463,1474,45,181,74,9982
16,8093,1802,86,175,73,9981
17,7990,1850,140,163,79,9980
18,7912,1892,174,170,84,9978
19,7669,2087,221,183,76,9977
20,7381,2324,271,196,80,9976
21,7138,2515,323,196,77,9976
22,7023,2577,375,215,81,9975
23,6941,2607,427,221,78,9975
24,6941,2559,475,225,84,9975
25,6837,2616,521,213,85,9974
26,6799,2598,576,202,81,9973
27,6641,2702,630,201,81,9973
28,6511,2771,691,199,88,9973
29,6405,2821,746,196,89,9972
30,6231,2904,836,189,87,9971
31,6150,2901,919,185,95,9970
32,5995,2978,996,184,96,9969
33,5859,3026,1083,172,95,9968
34,5748,3026,1194,169,96,9968
35,5658,3012,1296,169,94,9966
36,5619,2920,1425,173,95,9964
37,5480,2924,1558,177,101,9962
38,5435,2875,1651,168,96,9961
39,5418,2776,1765,165,94,9959
40,5352,2740,1866,172,81,9958
41,5266,2710,1981,184,84,9957
42,5135,2724,2096,196,80,9955
43,5093,2654,2207,194,78,9954
44,5019,2612,2322,198,82,9953
45,4996,2538,2418,195,78,9952
46,4961,2460,2530,184,76,9951
47,4906,2410,2635,177,85,9951
48,4818,2388,2744,184,85,9950
49,4665,2442,2841,168,94,9948
50,4630,2376,2941,161,92,9947
51,4570,2332,3042,164,94,9944
52,4500,2302,3142,159,97,9944
53,4439,2264,3240,158,97,9943
54,4384,2223,3334,157,90,9941
55,4330,2171,3440,187,88,9941
56,4250,2133,3558,194,75,9941
57,4195,2102,3644,191,76,9941
58,4167,2022,3749,189,83,9938
59,4123,1953,3860,188,89,9936
60,4075,1907,3952,180,79,9934
61,4032,1871,4031,187,88,9934
62,3997,1829,4108,189,89,9934
63,3934,1821,4177,191,91,9932
64,3894,1789,4249,211,75,9932
65,3851,1762,4319,203,80,9932
66,3807,1726,4397,196,86,9930
67,3704,1761,4465,195,90,9930
68,3658,1716,4555,188,98,9929
69,3613,1701,4615,173,102,9929
70,3565,1672,4691,193,102,9928
71,3548,1610,4769,179,108,9927
72,3530,1569,4828,176,113,9927
73,3516,1518,4890,178,112,9924
74,3476,1487,4961,178,118,9924
75,3450,1442,5032,172,115,9924
76,3402,1428,5092,174,114,9922
77,3339,1426,5154,161,114,9919
78,3295,1409,5214,164,105,9918
79,3230,1410,5278,173,104,9918
80,3209,1369,5339,167,107,9917
81,3152,1371,5392,174,103,9915
82,3127,1321,5467,168,101,9915
83,3059,1335,5521,176,97,9915
84,3032,1307,5575,175,100,9914
85,3019,1261,5634,191,93,9914
86,3007,1213,5693,187,92,9913
87,2951,1211,5749,177,87,9911
88,2934,1172,5805,176,90,9911
89,2902,1159,5848,181,90,9909
90,2887,1128,5893,171,89,9908
91,2877,1087,5943,166,101,9907
92,2867,1040,5999,175,95,9906
93,2850,1008,6048,165,92,9906
94,2810,1000,6094,169,87,9904
95,2790,976,6136,171,89,9902
96,2764,959,6177,179,92,9900
97,2746,920,6233,185,90,9899
98,2719,900,6280,196,88,9899
99,2694,879,6324,185,85,9897
100,2676,836,6384,186,83,9896
101,2643,826,6427,182,82,9896
102,2624,792,6479,174,89,9895
103,2622,756,6516,185,80,9894
104,2605,725,6564,172,83,9894
105,2577,719,6597,172,88,9893
106,2563,707,6623,176,84,9893
107,2543,700,6650,180,89,9893
108,2528,675,6689,181,98,9892
109,2510,663,6718,182,90,9891
110,2500,646,6744,180,90,9890
111,2464,652,6774,182,93,9890
112,2436,651,6801,171,97,9888
113,2416,637,6835,170,99,9888
114,2390,641,6855,181,90,9886
115,2370,635,6881,182,95,9886
116,2353,620,6912,181,91,9885
117,2351,600,6934,184,94,9885
118,2320,602,6962,171,91,9884
119,2300,594,6989,168,91,9883
120,2276,588,7019,163,95,9883
121,2261,580,7039,175,94,9880
122,2239,584,7057,181,96,9880
123,2205,595,7080,182,94,9880
124,2164,617,7099,176,89,9880
125,2150,608,7119,183,90,9877
126,2140,587,7150,184,90,9877
127,2123,586,7168,200,89,9877
128,2123,560,7194,192,89,9877
129,2111,543,7223,193,88,9877
130,2111,527,7238,187,91,9876
131,2098,524,7254,181,103,9876
132,2081,514,7279,174,110,9874
133,2075,500,7297,163,113,9872
134,2020,537,7315,167,103,9872
135,2012,525,7334,165,104,9871
136,1981,532,7356,164,110,9869
137,1931,562,7374,162,106,9867
138,1903,578,7386,169,108,9867
139,1885,578,7402,165,109,9865
140,1860,582,7422,164,109,9864
141,1854,565,7444,169,105,9863
142,1850,553,7460,161,109,9863
143,1841,542,7480,177,102,9863
144,1824,543,7494,181,99,9861
145,1812,538,7509,185,95,9859
146,1793,529,7537,183,91,9859
147,1778,529,7550,173,98,9857
148,1761,519,7575,171,99,9855
149,1750,518,7586,171,98,9854
150,1727,507,7619,173,98,9853
151,1678,539,7636,167,101,9853
152,1674,524,7655,171,90,9853
153,1651,524,7678,167,98,9853
154,1634,519,7700,173,102,9853
155,1622,512,7718,174,97,9852
