day,houseID,infectedHumans
0,0,0
0,1,2
0,2,1
0,3,0
0,4,2
0,5,0
0,6,2
0,7,0
0,8,17
0,9,1
0,10,0
0,11,0
0,12,0
0,13,0
0,14,2
0,15,2
0,16,2
0,17,2
0,18,2
0,19,0
0,20,1
0,21,4
0,22,2
0,23,0
0,24,3
0,25,1
0,26,0
0,27,1
0,28,1
0,29,1
0,30,1
0,31,1
0,32,3
0,33,0
0,34,4
0,35,2
0,36,1
0,37,0
0,38,1
0,39,22
0,40,0
0,41,0
0,42,1
0,43,2
0,44,0
0,45,2
0,46,0
0,47,0
0,48,3
0,49,1
0,50,23
0,51,1
0,52,1
0,53,0
0,54,2
0,55,1
0,56,1
0,57,1
0,58,0
0,59,0
0,60,0
0,61,0
0,62,1
0,63,2
0,64,0
0,65,1
0,66,0
0,67,2
0,68,1
0,69,2
0,70,2
0,71,2
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,1
0,78,0
0,79,1
0,80,1
0,81,20
0,82,0
0,83,2
0,84,0
0,85,1
0,86,1
0,87,1
0,88,0
0,89,0
0,90,1
0,91,1
0,92,2
0,93,0
0,94,1
0,95,2
0,96,1
0,97,2
0,98,1
0,99,3
1,0,1
1,1,2
1,2,2
1,3,1
1,4,2
1,5,1
1,6,2
1,7,2
1,8,17
1,9,1
1,10,1
1,11,2
1,12,1
1,13,1
1,14,3
1,15,29
1,16,4
1,17,7
1,18,5
1,19,0
1,20,1
1,21,7
1,22,2
1,23,0
1,24,4
1,25,1
1,26,1
1,27,2
1,28,1
1,29,2
1,30,1
1,31,2
1,32,4
1,33,0
1,34,4
1,35,5
1,36,3
1,37,2
1,38,2
1,39,22
1,40,1
1,41,0
1,42,1
1,43,3
1,44,2
1,45,3
1,46,2
1,47,0
1,48,3
1,49,1
1,50,23
1,51,3
1,52,1
1,53,2
1,54,4
1,55,1
1,56,1
1,57,1
1,58,0
1,59,1
1,60,1
1,61,2
1,62,1
1,63,3
1,64,2
1,65,1
1,66,0
1,67,2
1,68,4
1,69,4
1,70,2
1,71,3
1,72,1
1,73,1
1,74,1
1,75,2
1,76,1
1,77,3
1,78,0
1,79,3
1,80,4
1,81,20
1,82,0
1,83,4
1,84,1
1,85,1
1,86,1
1,87,1
1,88,4
1,89,2
1,90,1
1,91,1
1,92,2
1,93,2
1,94,2
1,95,2
1,96,2
1,97,2
1,98,2
1,99,5
2,0,1
2,1,2
2,2,3
2,3,3
2,4,2
2,5,1
2,6,24
2,7,2
2,8,18
2,9,1
2,10,3
2,11,3
2,12,1
2,13,3
2,14,5
2,15,29
2,16,20
2,17,10
2,18,6
2,19,1
2,20,3
2,21,8
2,22,4
2,23,0
2,24,6
2,25,27
2,26,2
2,27,3
2,28,3
2,29,5
2,30,3
2,31,3
2,32,5
2,33,1
2,34,5
2,35,7
2,36,4
2,37,3
2,38,4
2,39,23
2,40,2
2,41,20
2,42,1
2,43,4
2,44,3
2,45,4
2,46,4
2,47,1
2,48,4
2,49,2
2,50,23
2,51,3
2,52,6
2,53,3
2,54,5
2,55,1
2,56,2
2,57,1
2,58,2
2,59,2
2,60,2
2,61,4
2,62,1
2,63,3
2,64,4
2,65,1
2,66,0
2,67,4
2,68,4
2,69,6
2,70,3
2,71,4
2,72,1
2,73,3
2,74,3
2,75,3
2,76,2
2,77,3
2,78,22
2,79,3
2,80,5
2,81,20
2,82,2
2,83,4
2,84,1
2,85,1
2,86,3
2,87,25
2,88,5
2,89,2
2,90,2
2,91,1
2,92,2
2,93,2
2,94,3
2,95,7
2,96,3
2,97,5
2,98,2
2,99,5
3,0,2
3,1,2
3,2,3
3,3,4
3,4,2
3,5,1
3,6,24
3,7,3
3,8,19
3,9,1
3,10,4
3,11,4
3,12,3
3,13,5
3,14,7
3,15,30
3,16,21
3,17,11
3,18,6
3,19,4
3,20,6
3,21,10
3,22,4
3,23,0
3,24,6
3,25,27
3,26,2
3,27,4
3,28,4
3,29,5
3,30,4
3,31,3
3,32,5
3,33,1
3,34,9
3,35,8
3,36,4
3,37,3
3,38,4
3,39,23
3,40,4
3,41,20
3,42,2
3,43,7
3,44,5
3,45,7
3,46,4
3,47,1
3,48,5
3,49,3
3,50,24
3,51,5
3,52,7
3,53,3
3,54,6
3,55,2
3,56,3
3,57,25
3,58,3
3,59,2
3,60,4
3,61,5
3,62,3
3,63,3
3,64,7
3,65,2
3,66,4
3,67,5
3,68,4
3,69,8
3,70,3
3,71,8
3,72,3
3,73,6
3,74,3
3,75,5
3,76,2
3,77,3
3,78,22
3,79,4
3,80,6
3,81,21
3,82,3
3,83,4
3,84,3
3,85,3
3,86,4
3,87,25
3,88,6
3,89,4
3,90,2
3,91,2
3,92,2
3,93,4
3,94,3
3,95,9
3,96,4
3,97,7
3,98,2
3,99,23
4,0,2
4,1,2
4,2,3
4,3,4
4,4,2
4,5,1
4,6,24
4,7,3
4,8,19
4,9,1
4,10,4
4,11,4
4,12,3
4,13,5
4,14,7
4,15,30
4,16,21
4,17,11
4,18,6
4,19,4
4,20,6
4,21,10
4,22,4
4,23,0
4,24,6
4,25,27
4,26,2
4,27,4
4,28,4
4,29,5
4,30,4
4,31,3
4,32,46
4,33,1
4,34,9
4,35,8
4,36,4
4,37,3
4,38,4
4,39,23
4,40,4
4,41,20
4,42,2
4,43,7
4,44,5
4,45,7
4,46,4
4,47,1
4,48,5
4,49,3
4,50,24
4,51,5
4,52,7
4,53,3
4,54,6
4,55,2
4,56,3
4,57,25
4,58,3
4,59,2
4,60,4
4,61,5
4,62,3
4,63,3
4,64,7
4,65,2
4,66,4
4,67,5
4,68,4
4,69,8
4,70,3
4,71,8
4,72,3
4,73,6
4,74,3
4,75,5
4,76,2
4,77,3
4,78,22
4,79,4
4,80,6
4,81,21
4,82,3
4,83,4
4,84,3
4,85,3
4,86,4
4,87,37
4,88,6
4,89,4
4,90,2
4,91,2
4,92,2
4,93,4
4,94,3
4,95,9
4,96,4
4,97,7
4,98,2
4,99,23
5,0,2
5,1,2
5,2,5
5,3,5
5,4,5
5,5,2
5,6,24
5,7,4
5,8,20
5,9,1
5,10,5
5,11,5
5,12,4
5,13,5
5,14,8
5,15,31
5,16,21
5,17,11
5,18,6
5,19,5
5,20,7
5,21,10
5,22,6
5,23,1
5,24,7
5,25,27
5,26,2
5,27,5
5,28,4
5,29,8
5,30,5
5,31,4
5,32,46
5,33,4
5,34,10
5,35,10
5,36,5
5,37,4
5,38,6
5,39,24
5,40,4
5,41,21
5,42,3
5,43,8
5,44,7
5,45,8
5,46,5
5,47,4
5,48,5
5,49,4
5,50,24
5,51,5
5,52,8
5,53,4
5,54,9
5,55,2
5,56,3
5,57,27
5,58,45
5,59,3
5,60,4
5,61,6
5,62,4
5,63,3
5,64,7
5,65,3
5,66,5
5,67,7
5,68,4
5,69,12
5,70,3
5,71,10
5,72,3
5,73,6
5,74,6
5,75,6
5,76,4
5,77,4
5,78,23
5,79,6
5,80,6
5,81,22
5,82,3
5,83,4
5,84,3
5,85,4
5,86,26
5,87,39
5,88,7
5,89,5
5,90,3
5,91,2
5,92,4
5,93,8
5,94,3
5,95,9
5,96,5
5,97,9
5,98,4
5,99,23
6,0,2
6,1,2
6,2,5
6,3,5
6,4,5
6,5,2
6,6,24
6,7,4
6,8,20
6,9,1
6,10,5
6,11,5
6,12,4
6,13,5
6,14,8
6,15,31
6,16,21
6,17,11
6,18,6
6,19,5
6,20,7
6,21,10
6,22,6
6,23,1
6,24,7
6,25,27
6,26,2
6,27,5
6,28,30
6,29,8
6,30,5
6,31,4
6,32,46
6,33,4
6,34,10
6,35,10
6,36,5
6,37,4
6,38,6
6,39,24
6,40,4
6,41,21
6,42,3
6,43,8
6,44,7
6,45,8
6,46,5
6,47,4
6,48,5
6,49,4
6,50,24
6,51,5
6,52,8
6,53,4
6,54,9
6,55,2
6,56,3
6,57,27
6,58,45
6,59,3
6,60,4
6,61,6
6,62,4
6,63,3
6,64,7
6,65,3
6,66,5
6,67,7
6,68,4
6,69,12
6,70,3
6,71,10
6,72,3
6,73,6
6,74,6
6,75,6
6,76,4
6,77,4
6,78,23
6,79,6
6,80,6
6,81,22
6,82,3
6,83,4
6,84,3
6,85,4
6,86,26
6,87,39
6,88,7
6,89,5
6,90,3
6,91,2
6,92,4
6,93,8
6,94,3
6,95,9
6,96,20
6,97,9
6,98,4
6,99,23
7,0,2
7,1,2
7,2,5
7,3,5
7,4,5
7,5,2
7,6,24
7,7,4
7,8,20
7,9,1
7,10,5
7,11,5
7,12,4
7,13,5
7,14,8
7,15,31
7,16,21
7,17,11
7,18,6
7,19,5
7,20,7
7,21,23
7,22,6
7,23,1
7,24,7
7,25,27
7,26,2
7,27,5
7,28,30
7,29,8
7,30,5
7,31,4
7,32,46
7,33,4
7,34,10
7,35,10
7,36,5
7,37,4
7,38,6
7,39,24
7,40,4
7,41,21
7,42,3
7,43,8
7,44,7
7,45,8
