day,S,I,R,E_mos,I_mos,totalHumans
0,19897,100,0,4,91,19997
1,18998,997,0,22,83,19995
2,18681,1310,0,48,78,19991
3,17980,2009,0,75,73,19989
4,17450,2538,0,97,69,19988
5,17241,2747,0,134,63,19988
6,17222,2764,0,158,56,19986
7,16969,3017,0,178,53,19986
8,16773,3212,0,192,47,19985
9,16645,3338,0,203,40,19983
10,16626,3355,0,229,38,19981
11,16448,3532,0,227,44,19980
12,16417,3559,0,214,51,19976
13,16267,3707,0,220,60,19974
14,16251,3715,7,221,60,19973
15,16187,3693,88,211,74,19968
16,16066,3736,164,221,83,19966
17,15897,3789,278,231,84,19964
18,15739,3764,459,227,87,19962
19,15628,3720,613,229,92,19961
20,15369,3815,775,227,103,19959
21,14882,4156,916,225,107,19954
22,14755,4121,1075,231,115,19951
23,14549,4181,1219,224,112,19949
24,14496,4081,1370,214,113,19947
25,14416,4012,1518,206,115,19946
26,14254,4018,1672,205,121,19944
27,14052,4090,1802,201,120,19944
28,14018,3962,1963,205,115,19943
29,13912,3928,2103,198,126,19943
30,13765,3955,2221,216,126,19941
31,13671,3886,2383,210,128,19940
32,13582,3839,2517,205,128,19938
33,13478,3811,2647,217,124,19936
34,13347,3792,2795,218,129,19934
35,13181,3807,2946,228,130,19934
36,13108,3691,3134,217,130,19933
37,13035,3605,3292,211,129,19932
38,12980,3510,3439,209,130,19929
39,12869,3449,3606,204,131,19924
40,12792,3370,3760,209,140,19922
41,12689,3309,3923,202,139,19921
42,12568,3279,4068,207,139,19915
43,12392,3313,4208,204,140,19913
44,12266,3311,4335,222,121,19912
45,12146,3286,4478,207,123,19910
46,12027,3272,4610,220,124,19909
47,11934,3233,4740,214,117,19907
48,11838,3185,4883,214,125,19906
49,11753,3113,5039,223,124,19905
50,11709,3048,5147,217,121,19904
51,11541,3081,5280,219,124,19902
52,11476,3019,5406,213,136,19901
53,11445,2956,5497,206,143,19898
54,11334,2926,5635,215,149,19895
55,11258,2872,5761,221,147,19891
56,11153,2852,5884,222,151,19889
57,11061,2830,5998,226,149,19889
58,10964,2808,6115,222,152,19887
59,10894,2764,6229,214,147,19887
60,10792,2747,6344,214,148,19883
61,10689,2731,6463,222,137,19883
62,10597,2712,6572,217,134,19881
63,10440,2744,6696,217,128,19880
64,10361,2707,6809,215,135,19877
65,10299,2646,6931,223,135,19876
66,10217,2622,7033,223,136,19872
67,10161,2567,7143,209,135,19871
68,10075,2544,7251,224,134,19870
69,9991,2518,7359,221,128,19868
70,9903,2530,7434,217,126,19867
71,9891,2443,7532,209,126,19866
72,9791,2447,7624,211,122,19862
73,9759,2374,7725,217,118,19858
74,9730,2310,7815,222,125,19855
75,9668,2271,7915,210,136,19854
76,9632,2202,8018,205,138,19852
77,9610,2116,8124,205,141,19850
78,9549,2099,8200,195,143,19848
79,9510,2055,8281,203,139,19846
80,9478,1989,8379,207,139,19846
81,9431,1949,8462,203,141,19842
82,9370,1910,8558,210,130,19838
83,9279,1908,8650,209,129,19837
84,9224,1859,8752,197,138,19835
85,9180,1827,8825,197,136,19832
86,9107,1813,8910,204,135,19830
87,9026,1805,8999,199,129,19830
88,8980,1783,9066,204,122,19829
89,8927,1766,9134,198,121,19827
90,8860,1762,9203,183,130,19825
91,8804,1755,9264,186,129,19823
92,8718,1770,9335,185,128,19823
93,8660,1747,9415,174,126,19822
94,8626,1710,9482,181,127,19818
95,8551,1714,9552,195,123,19817
96,8472,1725,9620,177,120,19817
97,8380,1746,9688,187,116,19814
98,8338,1734,9742,172,123,19814
99,8294,1708,9811,179,117,19813
100,8246,1678,9886,183,111,19810
101,8202,1658,9945,181,107,19805
102,8148,1648,10007,183,106,19803
103,8144,1583,10075,190,111,19802
104,8079,1589,10132,192,115,19800
105,8028,1563,10208,196,116,19799
106,7986,1538,10270,205,114,19794
107,7948,1519,10324,200,111,19791
108,7914,1496,10375,186,118,19785
109,7859,1479,10445,188,118,19783
110,7798,1473,10512,188,114,19783
111,7717,1484,10580,185,117,19781
112,7633,1514,10633,202,116,19780
113,7599,1475,10705,192,122,19779
114,7558,1453,10764,202,120,19775
115,7542,1412,10819,212,118,19773
116,7506,1394,10871,210,114,19771
117,7496,1344,10930,200,118,19770
118,7452,1329,10987,199,114,19768
119,7399,1326,11041,201,116,19766
120,7359,1301,11104,189,120,19764
121,7285,1318,11157,183,116,19760
122,7251,1298,11211,168,128,19760
123,7193,1305,11260,174,130,19758
124,7143,1296,11316,166,134,19755
125,7099,1287,11367,166,129,19753
126,7038,1285,11429,162,130,19752
127,6938,1329,11483,160,128,19750
128,6909,1292,11544,161,121,19745
129,6870,1273,11598,151,112,19741
130,6831,1267,11642,150,113,19740
131,6814,1242,11680,151,110,19736
132,6765,1236,11733,151,103,19734
133,6741,1213,11778,144,111,19732
134,6706,1197,11826,152,109,19729
135,6653,1200,11872,153,107,19725
136,6629,1181,11913,142,112,19723
137,6581,1178,11960,153,113,19719
138,6546,1154,12015,151,115,19715
139,6511,1156,12046,158,112,19713
140,6476,1139,12096,160,104,19711
141,6432,1113,12165,169,96,19710
142,6407,1093,12209,157,100,19709
143,6350,1098,12258,161,92,19706
144,6337,1066,12301,164,94,19704
145,6301,1049,12352,158,95,19702
146,6276,1014,12412,159,94,19702
147,6255,998,12443,158,99,19696
148,6233,983,12478,161,102,19694
149,6205,973,12515,165,94,19693
150,6193,934,12565,167,96,19692
151,6184,896,12608,164,96,19688
152,6162,884,12639,164,96,19685
153,6142,873,12670,162,90,19685
154,6110,861,12711,161,97,19682
155,6079,858,12744,156,97,19681
156,6072,829,12776,160,96,19677
157,6050,811,12814,148,104,19675
158,6020,798,12857,143,107,19675
159,5991,790,12892,159,106,19673
160,5920,830,12920,159,111,19670
161,5885,818,12964,170,104,19667
162,5845,826,12995,169,107,19666
163,5812,828,13026,166,106,19666
164,5778,825,13061,176,106,19664
165,5724,838,13098,171,107,19660
166,5676,861,13121,172,105,19658
167,5657,852,13146,173,105,19655
168,5622,860,13171,167,101,19653
169,5612,841,13199,162,106,19652
170,5573,852,13224,169,104,19649
171,5541,853,13252,154,111,19646
172,5509,856,13281,153,113,19646
173,5480,853,13311,152,108,19644
174,5416,887,13337,144,107,19640
175,5365,897,13376,154,101,19638
176,5330,910,13396,147,106,19636
177,5292,918,13424,145,107,19634
178,5260,920,13453,155,108,19633
179,5210,934,13488,162,101,19632
180,5181,927,13523,158,105,19631
181,5140,936,13551,169,111,19627
182,5117,928,13580,167,108,19625
183,5103,903,13617,169,106,19623
184,5078,894,13647,170,107,19619
185,5063,879,13677,163,109,19619
186,5038,875,13704,164,109,19617
187,4978,902,13737,163,106,19617
188,4953,900,13763,157,108,19616
189,4908,917,13789,162,107,19614
190,4888,902,13824,168,104,19614
191,4858,897,13855,149,106,19610
192,4848,873,13889,160,100,19610
193,4824,861,13924,173,94,19609
194,4788,866,13954,172,93,19608
195,4759,865,13984,178,91,19608
196,4753,833,14020,182,91,19606
197,4706,842,14057,174,97,19605
198,4678,828,14096,170,97,19602
199,4653,819,14126,171,99,19598
200,4629,813,14155,164,100,19597
201,4615,802,14177,159,96,19594
202,4589,786,14216,152,100,19591
203,4566,779,14243,155,103,19588
204,4545,767,14274,167,95,19586
205,4515,765,14304,170,93,19584
206,4497,755,14332,163,95,19584
207,4482,739,14361,169,95,19582
208,4463,732,14387,163,99,19582
209,4439,723,14416,161,100,19578
210,4405,731,14441,150,100,19577
211,4382,724,14469,158,100,19575
212,4355,718,14502,152,102,19575
213,4344,702,14529,146,111,19575
214,4278,741,14556,135,111,19575
215,4257,739,14577,133,113,19573
216,4221,750,14602,135,110,19573
217,4166,782,14622,149,104,19570
218,4162,761,14646,136,99,19569
219,4145,758,14666,136,98,19569
220,4106,769,14692,138,95,19567
221,4085,764,14718,151,99,19567
222,4051,755,14758,156,96,19564
223,4017,755,14791,153,101,19563
224,3983,760,14814,158,94,19557
225,3961,764,14832,155,98,19557
226,3937,764,14853,146,102,19554
227,3923,759,14871,147,106,19553
228,3912,741,14894,151,107,19547
229,3892,729,14926,148,105,19547
230,3868,716,14962,149,106,19546
231,3850,701,14995,144,104,19546
232,3831,690,15024,150,98,19545
233,3817,672,15055,149,93,19544
234,3808,657,15077,144,94,19542
235,3789,648,15101,145,95,19538
236,3767,636,15133,148,87,19536
237,3757,616,15161,148,89,19534
238,3734,603,15194,141,93,19531
239,3723,589,15215,145,96,19527
240,3705,574,15246,152,97,19525
241,3690,565,15268,150,103,19523
242,3674,562,15287,139,108,19523
243,3654,546,15320,154,104,19520
244,3628,548,15339,154,104,19515
245,3614,542,15355,147,106,19511
246,3606,522,15381,138,107,19509
247,3587,518,15400,143,114,19505
248,3552,527,15425,138,114,19504
249,3540,521,15443,132,113,19504
250,3505,528,15468,120,115,19501
251,3495,510,15494,118,111,19499
252,3457,526,15514,126,102,19497
253,3430,528,15536,129,104,19494
254,3417,520,15555,129,98,19492
255,3414,506,15570,136,102,19490
256,3399,503,15587,137,97,19489
257,3372,507,15608,144,96,19487
258,3346,521,15616,150,93,19483
259,3334,512,15634,147,94,19480
260,3325,500,15651,148,89,19476
261,3322,488,15663,145,92,19473
262,3302,492,15678,130,99,19472
263,3291,481,15695,124,100,19467
264,3279,466,15719,120,91,19464
265,3258,465,15738,109,92,19461
266,3240,462,15756,103,92,19458
267,3209,473,15775,106,92,19457
268,3185,483,15788,102,91,19456
269,3169,476,15809,113,92,19454
270,3155,468,15827,113,91,19450
271,3147,461,15840,113,93,19448
272,3135,451,15862,110,90,19448
273,3127,441,15878,114,90,19446
274,3114,431,15898,125,88,19443
275,3088,438,15915,122,82,19441
276,3076,433,15927,121,80,19436
277,3051,441,15943,122,81,19435
278,3027,448,15958,124,81,19433
279,3005,441,15987,114,86,19433
280,2978,459,15995,123,87,19432
281,2960,456,16013,124,85,19429
282,2956,441,16031,131,79,19428
283,2950,427,16046,125,82,19423
284,2940,415,16064,130,77,19419
285,2939,399,16078,134,76,19416
286,2934,385,16093,134,74,19412
287,2921,385,16105,131,74,19411
288,2906,389,16113,123,79,19408
289,2905,375,16128,125,79,19408
290,2887,377,16144,130,81,19408
291,2868,385,16153,130,80,19406
292,2855,387,16162,127,86,19404
293,2844,385,16172,132,89,19401
294,2829,387,16185,127,87,19401
295,2820,389,16192,116,86,19401
296,2808,386,16205,109,81,19399
297,2802,382,16214,104,78,19398
298,2787,374,16237,103,72,19398
299,2781,360,16253,103,75,19394
300,2731,393,16269,92,77,19393
301,2706,402,16283,85,80,19391
302,2703,391,16296,82,80,19390
303,2686,396,16306,80,79,19388
304,2672,399,16316,84,76,19387
305,2641,421,16322,78,75,19384
306,2628,419,16333,84,70,19380
307,2617,413,16347,91,67,19377
308,2612,401,16364,97,64,19377
309,2610,392,16372,105,64,19374
310,2608,380,16386,116,59,19374
311,2589,380,16402,114,61,19371
312,2588,370,16413,105,62,19371
313,2572,373,16423,100,64,19368
314,2559,369,16437,104,64,19365
