day,S,I,R,E_mos,I_mos,totalHumans
0,9755,244,0,27,84,9999
1,9625,372,0,55,78,9997
2,9485,512,0,102,69,9997
3,9378,615,0,137,63,9993
4,9201,791,0,156,61,9992
5,9154,837,0,175,56,9991
6,9033,956,0,191,47,9989
7,8990,997,0,208,43,9987
8,8940,1046,0,210,41,9986
9,8878,1108,0,211,35,9986
10,8876,1108,0,203,34,9984
11,8803,1179,0,208,37,9982
12,8727,1251,0,216,52,9978
13,8661,1315,0,196,56,9976
14,8643,1315,17,187,61,9975
15,8608,1319,47,182,71,9974
16,8462,1432,79,174,72,9973
17,8293,1550,128,180,74,9971
18,8100,1701,170,183,74,9971
19,7965,1772,233,176,78,9970
20,7795,1895,280,178,75,9970
21,7632,2005,332,180,79,9969
22,7536,2047,385,173,90,9968
23,7362,2161,445,165,93,9968
24,7011,2465,491,165,91,9967
25,6914,2500,552,164,89,9966
26,6836,2528,602,175,92,9966
27,6776,2533,655,183,96,9964
28,6634,2628,702,193,98,9964
29,6506,2704,754,188,98,9964
30,6471,2689,802,175,99,9962
31,6260,2843,856,172,98,9959
32,6194,2840,923,171,98,9957
33,6129,2828,1000,178,100,9957
34,6083,2796,1077,172,97,9956
35,6005,2783,1167,165,101,9955
36,5917,2785,1252,164,109,9954
37,5793,2816,1345,163,112,9954
38,5701,2783,1468,172,111,9952
39,5557,2813,1580,175,101,9950
40,5454,2812,1682,174,99,9948
41,5312,2843,1793,168,100,9948
42,5259,2785,1904,174,102,9948
43,5190,2737,2020,170,104,9947
44,5055,2759,2130,176,100,9944
45,4947,2750,2244,181,100,9941
46,4861,2730,2349,163,108,9940
47,4710,2779,2451,165,106,9940
48,4539,2849,2552,162,106,9940
49,4498,2780,2660,184,100,9938
50,4458,2719,2761,181,102,9938
51,4422,2650,2864,197,94,9936
52,4354,2614,2966,203,91,9934
53,4306,2558,3067,192,94,9931
54,4259,2515,3157,186,90,9931
55,4183,2487,3261,186,87,9931
56,4115,2453,3361,190,89,9929
57,4065,2408,3452,189,92,9925
58,4035,2336,3553,191,95,9924
59,3999,2268,3657,175,101,9924
60,3950,2201,3773,187,101,9924
61,3894,2152,3877,180,104,9923
62,3808,2140,3974,182,99,9922
63,3771,2082,4067,184,100,9920
64,3739,1996,4184,190,95,9919
65,3702,1954,4262,202,95,9918
66,3686,1880,4352,190,95,9918
67,3641,1824,4453,185,90,9918
68,3565,1806,4546,178,94,9917
69,3529,1763,4624,194,93,9916
70,3481,1726,4709,194,96,9916
71,3453,1664,4797,190,93,9914
72,3409,1638,4865,198,91,9912
73,3390,1569,4951,186,94,9910
74,3362,1537,5010,173,96,9909
75,3334,1495,5078,173,106,9907
76,3286,1469,5149,171,96,9904
77,3247,1432,5224,163,94,9903
78,3232,1383,5287,169,89,9902
79,3199,1349,5353,166,87,9901
80,3171,1305,5424,162,91,9900
81,3148,1265,5486,164,89,9899
82,3097,1265,5537,166,95,9899
83,3060,1221,5617,167,92,9898
84,3029,1199,5670,170,86,9898
85,3005,1165,5727,170,88,9897
86,2978,1140,5776,166,87,9894
87,2926,1150,5816,180,76,9892
88,2882,1141,5869,176,85,9892
89,2828,1147,5915,168,82,9890
90,2823,1098,5967,167,80,9888
91,2796,1075,6017,175,83,9888
92,2777,1053,6058,182,87,9888
93,2765,1024,6096,185,82,9885
94,2744,1000,6141,177,80,9885
95,2726,972,6187,158,83,9885
96,2720,931,6234,168,87,9885
97,2686,928,6271,169,84,9885
98,2658,911,6316,171,78,9885
99,2630,901,6352,181,79,9883
100,2593,908,6380,178,85,9881
101,2584,884,6410,183,90,9878
102,2544,879,6455,182,98,9878
103,2523,862,6492,178,97,9877
104,2488,851,6535,178,92,9874
105,2472,828,6573,189,89,9873
106,2462,804,6605,190,88,9871
107,2437,798,6634,192,86,9869
108,2426,779,6664,196,85,9869
109,2418,747,6702,184,93,9867
110,2401,736,6729,189,90,9866
111,2375,737,6752,194,94,9864
112,2362,715,6786,179,91,9863
113,2295,749,6818,179,87,9862
114,2276,721,6864,175,86,9861
115,2246,716,6899,175,88,9861
116,2213,716,6931,168,88,9860
117,2208,693,6959,173,91,9860
118,2183,685,6992,169,94,9860
119,2158,683,7019,176,91,9860
120,2142,669,7049,184,88,9860
121,2110,670,7079,172,92,9859
122,2091,663,7104,177,85,9858
123,2091,648,7119,180,88,9858
124,2057,657,7144,166,90,9858
125,2045,642,7169,159,92,9856
126,2010,650,7193,166,89,9853
127,1985,655,7212,153,96,9852
128,1972,637,7242,156,93,9851
129,1949,637,7265,155,95,9851
130,1917,643,7288,149,97,9848
131,1892,646,7310,155,96,9848
132,1861,659,7327,156,99,9847
133,1850,639,7358,150,96,9847
134,1838,623,7384,158,95,9845
135,1808,624,7413,158,97,9845
136,1784,627,7431,156,95,9842
137,1773,608,7461,164,90,9842
138,1758,591,7492,171,85,9841
139,1739,598,7504,173,83,9841
140,1731,589,7521,191,83,9841
141,1721,579,7541,196,87,9841
142,1701,580,7560,193,92,9841
143,1686,571,7583,194,89,9840
144,1672,556,7609,193,87,9837
145,1665,539,7633,190,88,9837
146,1634,533,7669,188,85,9836
147,1625,524,7685,170,81,9834
148,1612,512,7708,158,85,9832
149,1593,505,7731,160,85,9829
150,1574,496,7758,152,94,9828
151,1558,485,7785,146,94,9828
152,1534,492,7802,155,94,9828
153,1526,483,7817,147,98,9826
154,1515,478,7832,143,93,9825
155,1514,464,7845,151,99,9823
156,1493,455,7875,161,94,9823
157,1481,442,7899,163,88,9822
158,1481,424,7917,173,77,9822
159,1472,419,7931,173,79,9822
160,1458,411,7952,180,74,9821
161,1447,403,7970,189,76,9820
162,1439,400,7981,166,80,9820
163,1424,396,7997,157,84,9817
164,1416,390,8010,145,77,9816
165,1403,382,8031,144,84,9816
166,1386,375,8054,140,88,9815
167,1369,375,8071,130,84,9815
168,1360,368,8086,131,88,9814
169,1358,351,8105,130,84,9814
170,1338,358,8115,134,83,9811
171,1326,349,8134,120,86,9809
172,1304,360,8143,123,75,9807
173,1282,370,8155,132,74,9807
174,1276,362,8169,137,71,9807
175,1276,346,8185,128,74,9807
176,1267,338,8202,118,77,9807
177,1264,327,8216,120,66,9807
178,1257,320,8228,118,62,9805
179,1254,316,8233,123,61,9803
180,1253,307,8243,124,62,9803
181,1244,303,8256,127,60,9803
182,1233,294,8274,130,61,9801
183,1225,297,8276,122,66,9798
184,1223,286,8288,132,70,9797
185,1222,265,8308,139,70,9795
186,1213,262,8319,142,70,9794
187,1211,251,8330,144,74,9792
188,1206,242,8343,140,75,9791
189,1201,240,8349,132,81,9790
190,1187,235,8368,126,86,9790
191,1185,229,8375,121,79,9789
192,1177,231,8380,115,76,9788
193,1176,222,8389,125,75,9787
194,1172,219,8395,115,78,9786
195,1166,216,8403,119,77,9785
196,1161,210,8414,131,74,9785
197,1157,204,8424,127,72,9785
198,1152,206,8427,125,68,9785
199,1144,208,8432,120,69,9784
200,1117,222,8444,116,64,9783
201,1117,213,8453,116,65,9783
202,1116,200,8467,124,64,9783
203,1115,193,8475,121,67,9783
204,1115,183,8484,119,65,9782
205,1103,184,8494,107,70,9781
206,1102,172,8506,99,73,9780
207,1097,168,8514,101,67,9779
208,1088,170,8518,101,63,9776
209,1080,169,8526,101,65,9775
210,1070,172,8533,106,66,9775
211,1066,169,8540,106,67,9775
212,1060,169,8544,109,59,9773
213,1060,166,8546,117,60,9772
214,1060,161,8549,117,61,9770
215,1059,152,8559,126,62,9770
216,1057,145,8567,116,59,9769
217,1049,150,8569,108,57,9768
218,1045,146,8577,111,50,9768
219,1041,143,8584,104,56,9768
220,1036,142,8590,108,57,9768
221,1030,138,8600,99,50,9768
222,1027,133,8606,103,48,9766
223,1024,128,8612,106,50,9764
224,1021,125,8618,100,44,9764
225,1020,120,8621,96,43,9761
226,1016,118,8625,99,42,9759
227,1011,119,8628,89,43,9758
228,1001,124,8632,84,42,9757
229,997,123,8635,80,43,9755
230,992,122,8639,75,42,9753
231,989,122,8642,81,46,9753
232,983,123,8645,74,44,9751
233,974,127,8649,72,43,9750
234,974,120,8656,80,40,9750
235,964,124,8659,83,43,9747
236,958,126,8663,79,44,9747
237,955,125,8665,75,40,9745
238,955,122,8666,77,36,9743
239,953,118,8670,70,30,9741
240,953,109,8679,70,30,9741
241,952,105,8682,68,28,9739
242,949,104,8685,78,26,9738
243,949,98,8691,81,28,9738
244,949,95,8690,78,31,9734
245,943,97,8691,74,36,9731
246,942,91,8698,76,32,9731
247,942,85,8703,76,33,9730
248,940,82,8707,77,35,9729
249,929,90,8708,76,35,9727
250,926,87,8713,77,36,9726
251,926,82,8714,80,34,9722
252,925,83,8714,82,35,9722
253,919,87,8715,78,36,9721
254,918,85,8716,84,41,9719
255,917,85,8716,89,40,9718
256,908,92,8715,83,43,9715
257,907,91,8717,85,40,9715
258,907,88,8716,91,41,9711
259,895,94,8722,89,42,9711
260,892,92,8725,83,43,9709
261,892,88,8728,77,43,9708
262,888,88,8732,75,43,9708
263,888,86,8734,71,43,9708
264,878,91,8738,66,48,9707
265,875,92,8738,68,44,9705
266,868,99,8738,70,42,9705
267,867,99,8739,66,45,9705
268,859,105,8741,60,47,9705
269,859,100,8745,63,45,9704
270,858,98,8747,69,43,9703
271,858,95,8750,68,45,9703
272,856,97,8749,61,45,9702
273,856,90,8754,64,37,9700
274,851,89,8759,63,40,9699
275,850,87,8762,65,40,9699
276,849,83,8766,56,42,9698
277,843,85,8769,54,45,9697
278,840,84,8772,56,39,9696
279,836,79,8780,59,38,9695
280,834,78,8780,58,39,9692
281,833,75,8783,54,37,9691
282,832,73,8786,56,35,9691
283,825,75,8790,52,37,9690
284,816,80,8794,59,37,9690
285,816,78,8794,59,36,9688
286,814,79,8795,59,36,9688
287,814,79,8794,54,36,9687
288,809,79,8797,59,32,9685
289,809,74,8799,58,30,9682
290,804,76,8801,55,31,9681
291,803,73,8803,56,27,9679
292,802,73,8804,56,28,9679
293,802,72,8805,59,28,9679
294,802,68,8809,50,31,9679
295,800,66,8812,54,30,9678
296,800,65,8813,64,30,9678
297,799,65,8811,58,30,9675
298,797,65,8813,54,33,9675
299,795,63,8816,59,29,9674
300,794,58,8820,65,29,9672
301,792,58,8822,66,33,9672
302,790,57,8824,65,35,9671
303,790,52,8829,66,33,9671
304,789,49,8833,62,34,9671
305,787,50,8833,56,38,9670
306,784,50,8834,53,41,9668
307,779,52,8835,60,33,9666
