day,houseID,infectedHumans
0,0,5
0,1,1
0,2,1
0,3,27
0,4,1
0,5,0
0,6,7
0,7,3
0,8,0
0,9,2
0,10,2
0,11,4
0,12,3
0,13,2
0,14,2
0,15,3
0,16,1
0,17,4
0,18,2
0,19,2
0,20,0
0,21,1
0,22,1
0,23,0
0,24,0
0,25,5
0,26,0
0,27,2
0,28,1
0,29,4
0,30,1
0,31,2
0,32,5
0,33,2
0,34,3
0,35,3
0,36,0
0,37,2
0,38,4
0,39,4
0,40,0
0,41,0
0,42,2
0,43,1
0,44,1
0,45,3
0,46,2
0,47,1
0,48,2
0,49,0
0,50,1
0,51,1
0,52,1
0,53,1
0,54,0
0,55,0
0,56,4
0,57,3
0,58,3
0,59,2
0,60,3
0,61,2
0,62,2
0,63,3
0,64,3
0,65,5
0,66,26
0,67,2
0,68,3
0,69,1
0,70,0
0,71,3
0,72,1
0,73,3
0,74,5
0,75,4
0,76,1
0,77,3
0,78,1
0,79,3
0,80,1
0,81,1
0,82,3
0,83,0
0,84,0
0,85,1
0,86,1
0,87,2
0,88,4
0,89,0
0,90,1
0,91,2
0,92,1
0,93,3
0,94,2
0,95,0
0,96,2
0,97,1
0,98,1
0,99,4
1,0,5
1,1,1
1,2,1
1,3,27
1,4,2
1,5,3
1,6,10
1,7,3
1,8,3
1,9,3
1,10,2
1,11,4
1,12,6
1,13,2
1,14,4
1,15,4
1,16,3
1,17,6
1,18,2
1,19,3
1,20,2
1,21,1
1,22,1
1,23,1
1,24,1
1,25,6
1,26,1
1,27,4
1,28,3
1,29,4
1,30,1
1,31,2
1,32,5
1,33,2
1,34,4
1,35,3
1,36,2
1,37,4
1,38,5
1,39,4
1,40,0
1,41,3
1,42,3
1,43,1
1,44,1
1,45,3
1,46,5
1,47,1
1,48,3
1,49,2
1,50,2
1,51,3
1,52,3
1,53,1
1,54,0
1,55,0
1,56,5
1,57,4
1,58,3
1,59,4
1,60,4
1,61,5
1,62,2
1,63,5
1,64,5
1,65,6
1,66,26
1,67,24
1,68,5
1,69,1
1,70,0
1,71,4
1,72,4
1,73,4
1,74,5
1,75,7
1,76,2
1,77,3
1,78,2
1,79,5
1,80,1
1,81,4
1,82,4
1,83,0
1,84,0
1,85,2
1,86,3
1,87,2
1,88,6
1,89,0
1,90,4
1,91,5
1,92,1
1,93,3
1,94,4
1,95,2
1,96,2
1,97,1
1,98,5
1,99,7
2,0,5
2,1,2
2,2,3
2,3,28
2,4,3
2,5,5
2,6,10
2,7,3
2,8,22
2,9,4
2,10,2
2,11,4
2,12,7
2,13,5
2,14,4
2,15,4
2,16,4
2,17,8
2,18,3
2,19,3
2,20,4
2,21,2
2,22,1
2,23,2
2,24,1
2,25,8
2,26,1
2,27,6
2,28,4
2,29,4
2,30,1
2,31,2
2,32,6
2,33,3
2,34,6
2,35,4
2,36,2
2,37,4
2,38,7
2,39,4
2,40,1
2,41,4
2,42,3
2,43,1
2,44,3
2,45,4
2,46,5
2,47,3
2,48,3
2,49,4
2,50,2
2,51,4
2,52,4
2,53,2
2,54,5
2,55,0
2,56,5
2,57,4
2,58,4
2,59,5
2,60,5
2,61,6
2,62,3
2,63,5
2,64,7
2,65,25
2,66,27
2,67,24
2,68,6
2,69,4
2,70,1
2,71,5
2,72,4
2,73,4
2,74,5
2,75,9
2,76,19
2,77,6
2,78,2
2,79,6
2,80,1
2,81,5
2,82,5
2,83,0
2,84,1
2,85,3
2,86,3
2,87,3
2,88,8
2,89,0
2,90,6
2,91,6
2,92,1
2,93,3
2,94,5
2,95,3
2,96,3
2,97,2
2,98,6
2,99,8
3,0,6
3,1,3
3,2,3
3,3,28
3,4,3
3,5,6
3,6,10
3,7,3
3,8,22
3,9,5
3,10,2
3,11,4
3,12,8
3,13,5
3,14,4
3,15,5
3,16,5
3,17,8
3,18,5
3,19,5
3,20,4
3,21,2
3,22,1
3,23,2
3,24,3
3,25,11
3,26,3
3,27,7
3,28,4
3,29,4
3,30,3
3,31,4
3,32,7
3,33,5
3,34,7
3,35,4
3,36,5
3,37,5
3,38,7
3,39,5
3,40,3
3,41,5
3,42,3
3,43,2
3,44,4
3,45,4
3,46,6
3,47,4
3,48,5
3,49,5
3,50,2
3,51,5
3,52,4
3,53,2
3,54,9
3,55,1
3,56,6
3,57,6
3,58,4
3,59,5
3,60,8
3,61,7
3,62,5
3,63,5
3,64,8
3,65,40
3,66,27
3,67,26
3,68,7
3,69,7
3,70,1
3,71,6
3,72,5
3,73,4
3,74,5
3,75,10
3,76,20
3,77,6
3,78,3
3,79,6
3,80,2
3,81,5
3,82,6
3,83,0
3,84,2
3,85,4
3,86,4
3,87,4
3,88,10
3,89,1
3,90,6
3,91,6
3,92,2
3,93,6
3,94,6
3,95,5
3,96,5
3,97,3
3,98,6
3,99,8
4,0,6
4,1,7
4,2,6
4,3,30
4,4,4
4,5,8
4,6,33
4,7,6
4,8,23
4,9,6
4,10,3
4,11,8
4,12,8
4,13,9
4,14,6
4,15,6
4,16,7
4,17,10
4,18,6
4,19,5
4,20,7
4,21,5
4,22,2
4,23,3
4,24,4
4,25,15
4,26,5
4,27,7
4,28,6
4,29,4
4,30,4
4,31,5
4,32,7
4,33,5
4,34,7
4,35,7
4,36,5
4,37,6
4,38,8
4,39,7
4,40,4
4,41,7
4,42,7
4,43,3
4,44,6
4,45,5
4,46,7
4,47,5
4,48,7
4,49,5
4,50,3
4,51,8
4,52,5
4,53,2
4,54,10
4,55,3
4,56,6
4,57,9
4,58,4
4,59,5
4,60,8
4,61,9
4,62,9
4,63,5
4,64,10
4,65,41
4,66,28
4,67,27
4,68,7
4,69,9
4,70,3
4,71,8
4,72,5
4,73,4
4,74,7
4,75,11
4,76,20
4,77,6
4,78,5
4,79,6
4,80,4
4,81,7
4,82,7
4,83,2
4,84,6
4,85,5
4,86,5
4,87,5
4,88,10
4,89,2
4,90,8
4,91,6
4,92,4
4,93,8
4,94,6
4,95,6
4,96,7
4,97,23
4,98,6
4,99,9
5,0,6
5,1,7
5,2,6
5,3,30
5,4,4
5,5,8
5,6,33
5,7,6
5,8,23
5,9,6
5,10,3
5,11,8
5,12,8
5,13,9
5,14,6
5,15,6
5,16,15
5,17,10
5,18,6
5,19,5
5,20,7
5,21,5
5,22,2
5,23,3
5,24,4
5,25,15
5,26,5
5,27,7
5,28,6
5,29,4
5,30,4
5,31,5
5,32,7
5,33,5
5,34,7
5,35,7
5,36,5
5,37,6
5,38,8
5,39,7
5,40,4
5,41,7
5,42,7
5,43,3
5,44,6
5,45,5
5,46,7
5,47,5
5,48,7
5,49,5
5,50,3
5,51,8
5,52,5
5,53,2
5,54,10
5,55,3
5,56,6
5,57,9
5,58,4
5,59,5
5,60,8
5,61,9
5,62,9
5,63,5
5,64,10
5,65,41
5,66,28
5,67,27
5,68,7
5,69,9
5,70,3
5,71,8
5,72,5
5,73,4
5,74,7
5,75,11
5,76,20
5,77,6
5,78,25
5,79,6
5,80,4
5,81,25
5,82,7
5,83,2
5,84,6
5,85,5
5,86,5
5,87,5
5,88,10
5,89,2
5,90,8
5,91,6
5,92,4
5,93,8
5,94,6
5,95,6
5,96,7
5,97,23
5,98,6
5,99,9
6,0,6
6,1,7
6,2,6
6,3,31
6,4,5
6,5,10
6,6,34
6,7,8
6,8,36
6,9,6
6,10,3
6,11,9
6,12,10
6,13,10
6,14,6
6,15,6
6,16,15
6,17,11
6,18,8
6,19,5
6,20,7
6,21,6
6,22,2
6,23,3
6,24,5
6,25,16
6,26,5
6,27,7
6,28,6
6,29,4
6,30,6
6,31,5
6,32,7
6,33,5
6,34,7
6,35,8
6,36,7
6,37,6
6,38,8
6,39,8
6,40,5
6,41,8
6,42,7
6,43,3
6,44,6
6,45,7
6,46,23
6,47,5
6,48,8
6,49,5
6,50,3
6,51,8
6,52,5
6,53,2
6,54,10
6,55,3
6,56,6
6,57,10
6,58,4
6,59,6
6,60,9
6,61,10
6,62,12
6,63,5
6,64,10
6,65,41
6,66,28
6,67,27
6,68,9
6,69,11
6,70,3
6,71,9
6,72,6
6,73,6
6,74,8
6,75,13
6,76,20
6,77,6
6,78,25
6,79,7
6,80,4
6,81,25
6,82,7
6,83,3
6,84,7
6,85,6
6,86,25
6,87,6
6,88,10
6,89,2
6,90,8
6,91,6
6,92,6
6,93,9
6,94,7
6,95,6
6,96,7
6,97,23
6,98,6
6,99,24
7,0,6
7,1,7
7,2,6
7,3,31
7,4,5
7,5,10
7,6,34
7,7,8
7,8,36
7,9,6
7,10,3
7,11,9
7,12,10
7,13,10
7,14,6
7,15,6
7,16,15
7,17,11
7,18,8
7,19,5
7,20,7
7,21,6
7,22,2
7,23,3
7,24,5
7,25,16
7,26,5
7,27,7
7,28,6
7,29,4
7,30,6
7,31,5
7,32,7
7,33,5
7,34,7
7,35,8
7,36,7
7,37,6
7,38,8
7,39,8
7,40,5
7,41,8
7,42,7
7,43,3
7,44,6
7,45,7
7,46,23
7,47,5
7,48,8
7,49,5
7,50,26
7,51,8
7,52,5
7,53,2
7,54,10
7,55,3
7,56,6
7,57,10
7,58,4
7,59,6
7,60,9
7,61,10
7,62,12
7,63,5
7,64,10
7,65,59
7,66,28
7,67,27
7,68,9
7,69,11
7,70,3
7,71,9
7,72,6
7,73,6
7,74,8
7,75,13
7,76,20
7,77,6
7,78,25
7,79,7
7,80,4
7,81,25
7,82,7
7,83,3
7,84,7
7,85,6
7,86,25
7,87,6
7,88,10
7,89,2
7,90,8
7,91,6
7,92,6
7,93,9
7,94,7
7,95,6
7,96,7
7,97,23
7,98,6
7,99,24
8,0,6
8,1,7
8,2,6
8,3,31
8,4,5
8,5,10
8,6,34
8,7,8
8,8,36
8,9,6
8,10,3
8,11,9
8,12,10
8,13,10
8,14,6
8,15,6
8,16,15
8,17,11
8,18,8
8,19,5
8,20,7
8,21,6
8,22,2
8,23,3
8,24,5
8,25,16
8,26,5
8,27,7
8,28,6
8,29,4
8,30,6
8,31,5
8,32,7
8,33,5
8,34,7
8,35,8
8,36,7
8,37,6
8,38,8
8,39,8
8,40,19
8,41,8
8,42,7
8,43,3
8,44,6
8,45,7
8,46,23
8,47,5
8,48,8
8,49,5
8,50,26
8,51,8
8,52,5
8,53,2
8,54,10
8,55,3
8,56,6
8,57,10
8,58,4
8,59,6
8,60,9
8,61,10
8,62,12
8,63,5
8,64,10
8,65,59
8,66,28
8,67,27
8,68,9
8,69,11
8,70,3
8,71,9
8,72,6
8,73,6
8,74,8
8,75,13
8,76,20
8,77,31
8,78,25
8,79,7
8,80,4
8,81,25
8,82,7
8,83,3
8,84,7
8,85,6
8,86,25
8,87,6
8,88,10
8,89,2
8,90,8
8,91,16
8,92,6
8,93,9
8,94,7
8,95,6
8,96,7
8,97,23
8,98,6
8,99,24
9,0,8
9,1,7
9,2,6
9,3,31
9,4,5
9,5,11
9,6,34
9,7,8
9,8,36
9,9,7
9,10,3
9,11,9
9,12,10
9,13,10
9,14,7
9,15,6
9,16,15
9,17,11
9,18,8
9,19,6
9,20,7
9,21,7
9,22,2
9,23,3
9,24,5
9,25,16
9,26,5
9,27,8
9,28,7
9,29,4
9,30,8
9,31,8
9,32,8
9,33,6
9,34,7
9,35,29
9,36,8
9,37,6
9,38,10
9,39,8
9,40,19
9,41,8
9,42,7
9,43,4
9,44,6
9,45,7
9,46,23
9,47,5
9,48,8
9,49,5
9,50,26
9,51,8
9,52,5
9,53,2
9,54,10
9,55,6
9,56,7
9,57,10
9,58,4
9,59,6
9,60,9
9,61,12
9,62,13
9,63,5
9,64,10
9,65,59
9,66,29
9,67,27
9,68,9
9,69,11
9,70,3
9,71,9
9,72,6
9,73,8
9,74,9
9,75,14
9,76,21
9,77,31
9,78,25
9,79,7
9,80,4
9,81,25
9,82,7
9,83,4
9,84,8
9,85,7
9,86,25
9,87,7
9,88,10
9,89,2
9,90,8
9,91,16
9,92,7
9,93,10
9,94,7
9,95,6
9,96,7
9,97,23
9,98,6
9,99,26
10,0,8
10,1,7
10,2,6
10,3,31
10,4,5
10,5,11
10,6,34
10,7,8
10,8,36
10,9,7
10,10,3
10,11,9
10,12,10
10,13,10
10,14,7
10,15,6
10,16,15
10,17,11
10,18,8
10,19,6
10,20,7
10,21,7
10,22,2
10,23,3
10,24,5
10,25,16
10,26,5
10,27,8
10,28,7
10,29,4
10,30,8
10,31,8
10,32,8
10,33,6
10,34,7
10,35,29
10,36,8
10,37,6
10,38,10
10,39,8
10,40,19
10,41,8
10,42,7
10,43,4
10,44,6
10,45,7
10,46,23
10,47,5
10,48,8
10,49,5
10,50,26
10,51,8
10,52,5
10,53,2
10,54,10
10,55,6
10,56,7
10,57,10
10,58,4
10,59,6
10,60,9
10,61,12
10,62,13
10,63,5
10,64,10
10,65,59
10,66,29
10,67,27
10,68,9
10,69,11
10,70,3
10,71,9
10,72,6
10,73,8
10,74,9
10,75,14
10,76,21
10,77,31
10,78,25
10,79,7
10,80,4
10,81,25
10,82,7
10,83,4
10,84,8
10,85,7
10,86,25
10,87,7
10,88,10
10,89,2
10,90,8
10,91,16
10,92,7
10,93,10
10,94,7
10,95,6
10,96,7
10,97,23
10,98,6
10,99,26
11,0,8
11,1,7
11,2,6
11,3,31
11,4,5
11,5,11
11,6,34
11,7,8
11,8,36
11,9,7
11,10,3
11,11,9
11,12,10
11,13,10
11,14,7
11,15,6
11,16,15
11,17,11
11,18,8
11,19,6
11,20,7
11,21,20
11,22,2
11,23,3
11,24,5
11,25,16
11,26,5
11,27,8
11,28,7
11,29,4
11,30,8
11,31,8
11,32,8
11,33,6
11,34,7
11,35,29
11,36,19
11,37,6
11,38,26
11,39,8
11,40,19
11,41,8
11,42,7
11,43,4
11,44,6
11,45,7
11,46,23
11,47,5
11,48,8
11,49,5
11,50,26
11,51,8
11,52,5
11,53,2
11,54,10
11,55,6
11,56,7
11,57,10
11,58,4
11,59,6
11,60,9
11,61,12
11,62,13
11,63,5
11,64,10
11,65,59
11,66,29
11,67,27
11,68,9
11,69,11
11,70,3
11,71,9
11,72,6
11,73,8
11,74,9
11,75,14
11,76,21
11,77,31
11,78,25
11,79,7
11,80,4
11,81,25
11,82,7
11,83,4
11,84,39
11,85,7
11,86,25
11,87,7
11,88,10
11,89,2
11,90,8
11,91,16
11,92,7
11,93,10
11,94,7
11,95,6
11,96,7
11,97,23
11,98,6
11,99,26
12,0,8
12,1,27
12,2,6
12,3,31
12,4,5
12,5,11
12,6,34
12,7,8
12,8,36
12,9,7
12,10,3
12,11,9
12,12,10
12,13,10
12,14,7
12,15,6
12,16,15
12,17,11
12,18,8
12,19,6
12,20,7
12,21,20
12,22,2
12,23,3
12,24,5
12,25,16
12,26,5
12,27,8
12,28,7
12,29,4
12,30,8
12,31,8
12,32,8
12,33,6
12,34,7
12,35,29
12,36,39
12,37,6
12,38,26
12,39,8
12,40,19
12,41,8
12,42,7
12,43,4
12,44,6
12,45,7
12,46,23
12,47,5
12,48,8
12,49,5
12,50,26
12,51,8
12,52,5
12,53,2
12,54,10
12,55,6
12,56,7
12,57,10
12,58,4
12,59,6
12,60,9
